Year;V1;V2;V3;V4;V5;V6;V7;V8;V9
1970;250,33;195,19;192,58;2,61;55,14;24,57;219,76;30,57;3218
1971;282,79;217,45;214,27;3,18;65,34;29,40;246,85;35,94;3547
1972;312,46;239,76;235,99;3,77;72,70;33,39;273,15;39,31;3888
1973;349,00;264,90;260,26;4,64;84,10;39,11;304,01;44,99;4274
1974;383,67;285,58;280,38;5,20;98,09;46,37;331,95;51,72;4602
1975;420,92;312,38;306,88;5,50;108,54;52,71;365,09;55,83;5052
1976;452,74;338,05;331,96;6,09;114,69;57,07;395,12;57,62;5494
1977;483,96;361,98;355,42;6,56;121,98;61,42;423,40;60,56;5895
1978;513,14;382,26;375,12;7,14;130,88;65,71;447,97;65,17;6233
1979;558,84;417,31;409,22;8,09;141,53;71,25;488,56;70,28;6801
1980;607,03;452,10;443,02;9,08;154,93;78,16;530,26;76,77;7343
1981;644,54;478,07;468,26;9,81;166,47;83,71;561,78;82,76;7751
1982;668,06;497,15;486,60;10,55;170,91;85,25;582,40;85,66;8066
1983;696,37;520,05;508,76;11,29;176,32;87,96;608,01;88,36;8467
1984;726,60;543,48;531,36;12,12;183,12;93,16;636,64;89,96;8884
1985;752,70;561,99;548,79;13,20;190,71;97,34;659,33;93,37;9209
1986;777,10;577,32;562,89;14,43;199,78;101,99;679,31;97,79;9454
1987;804,61;597,26;582,07;15,19;207,35;105,67;702,93;101,68;9779
1988;840,54;624,50;608,52;15,98;216,04;111,67;736,17;104,37;10163
1989;888,36;668,31;651,24;17,07;220,05;111,38;779,69;108,67;10768
1990;952,01;717,21;698,47;18,74;234,80;120,29;837,50;114,51;11339
1991;1022,42;770,50;751,72;18,78;251,92;137,60;908,10;114,32;12025
1991;1171,49;882,55;862,06;20,49;288,94;167,32;1049,87;121,62;11034
1992;1267,89;949,79;927,00;22,79;318,10;187,90;1137,69;130,20;11785
1993;1317,88;989,11;964,88;24,23;328,77;193,35;1182,46;135,42;12184
1994;1375,98;1032,75;1006,52;26,23;343,23;205,70;1238,45;137,53;12684
1995;1424,60;1066,47;1038,48;27,99;358,13;218,42;1284,89;139,71;13060
1996;1458,03;1088,64;1062,70;25,94;369,39;226,96;1315,60;142,43;13293
1997;1479,95;1110,82;1083,59;27,23;369,13;227,56;1338,38;141,57;13538
1998;1504,63;1130,14;1101,98;28,16;374,49;230,79;1360,93;143,70;13777
1999;1546,64;1161,86;1131,70;30,16;384,78;235,62;1397,48;149,16;14154
2000;1584,61;1195,04;1163,81;31,23;389,57;238,75;1433,79;150,82;14540
2001;1632,57;1233,43;1201,45;31,98;399,14;246,63;1480,06;152,51;14980
2002;1650,96;1240,58;1207,40;33,18;410,38;253,57;1494,15;156,81;15041
2003;1679,96;1264,51;1229,93;34,58;415,45;258,98;1523,49;156,47;15324
2004;1697,81;1283,61;1248,87;34,74;414,20;256,25;1539,86;157,95;15559
2005;1724,28;1306,98;1273,30;33,68;417,30;261,50;1568,48;155,80;15849
2006;1764,23;1339,54;1305,49;34,05;424,69;267,57;1607,11;157,12;16263
2007;1790,77;1356,73;1322,22;34,51;434,04;276,40;1633,13;157,64;16493
2008;1840,31;1387,70;1352,48;35,22;452,61;287,67;1675,37;164,94;16898
2009;1863,24;1387,43;1350,22;37,21;475,81;303,14;1690,57;172,67;16946
2010;1911,79;1423,02;1383,73;39,29;488,77;312,47;1735,49;176,30;17405
